id,severity,category,file,line,summary,evidence,verdict,verified_severity,verify_note,source,duplicate_of,direction,remediation
1713,minor,allow-paths-not-canonicalized,lib/runtime/hostagent/spawn.go,159,"pathAllowed glob-matches the literal binding path with no filepath.Clean/Abs/EvalSymlinks, so a symlink under an allowed directory executes an arbitrary target and unclean paths dodge the check.","pathAllowed does filepath.Match(glob, path) on the raw string (167); a symlink at /opt/tools/x -> /bin/sh matches an /opt/tools/* allowlist and execs /bin/sh, and * also matches a literal .. component; the flag is documented as a security control.",unverified,,,batch6:C070,,,
1719,minor,concept-drift-auth-source,.ok-planner/design/concepts/host-agent.md,27,"concept:host-agent claims the agent reads auth from the CLI's active-context config, but no active-context config exists — auth comes only from RIMSKY_API_KEY env or the --api-key flag; the concept doc is the stale side.",LoadConfigFromEnv reads os.Getenv(RIMSKY_API_KEY) (config.go:31) and agent.go:58 adds an --api-key flag override; grep for active-context/activeContext in cmd/rimsky/cli finds nothing.,unverified,,,batch6:C070,,,
1724,minor,free-port-toctou,lib/runtime/hostagent/spawn.go,319,"FreeLocalPort closes the probe listener before the child binds, so another process can grab the port in the window, producing a spurious spawn_failed (or handshaking against a foreign server) with no retry.","319-327 listens on 127.0.0.1:0, records the port, and closes; the child binds it later — SpawnService makes exactly one attempt (54-92), and waitPortReady's bare TCP dial would also report ready if an unrelated process won the port.",unverified,,,batch6:C070,,,
1745,major,claim-scope-canonicalization-drift,lib/services/claim_producers/filesystem/server/server.go,268,"SplitScope list and expand_folder emit absolute-path claim_scope_data while the store's Open/BatchPop emit relative-path scopes, so the byte-equal conflict predicate can never relate a fan-out sub-claim to a direct Open of the same file (two concurrent rw claims on the same path go undetected).","splitListArray synthesizes scope via json.Marshal(filepath.Join(parent.AbsPath, ""_list"", key)) and splitExpandFolder marshals the absolute walked path (server.go:440-447), but openScoped marshals the cleaned relative selector (store.go:157) and popOne marshals relative subPath (pick_policy.go:347). concept:claim-producer says the producer emits canonical scope bytes for a byte-equal predicate; the SplitScope side is diverging, and server_test.go:113 asserts the absolute shape.",CONFIRMED,major,"SplitScope list/expand_folder marshal absolute paths while Open/popOne marshal relative subPaths, so the byte-equal predicate cannot relate a fan-out sub-scope to a direct Open of the same file — and the test asserts the absolute shape, baking in the drift.",batch6:C072,,fix-code,Canonicalize SplitScope/expand_folder claim_scope_data to the same relative-path form Open/BatchPop emit so the byte-equal conflict predicate can relate a fan-out sub-claim to a direct Open of the same file.
1774,minor,case-insensitive-scope-canonicalization,lib/services/claim_producers/filesystem/store/store.go,157,"Scope canonicalization is purely lexical (filepath.Clean), so on case-insensitive filesystems (macOS/APFS local dev) selectors 'Docs/A' and 'docs/a' emit different scope bytes for the same directory and rimsky's byte-equal conflict predicate misses the writer-writer conflict.","scopeBytes, _ := json.Marshal(cleaned) with no case-folding; concept:claim-producer assigns path canonicalization to the producer.",unverified,,,batch6:C073,,,
1801,critical,unguarded-schema-drop-rename,lib/services/claim_producers/postgres/store/store.go,324,"stagedSwapTarget/dropStaging never require the staging identifier to carry the rimsky_stg_ prefix, so wire-supplied address bytes can CASCADE-drop or rename any schema (including public) via Abandon/Release/Commit.","stagedSwapTarget validates only canonical against schemaIdentRegex and canonical!=staging; the staging side is whatever the caller's address bytes decode to. Abandon(claimID, scope, address:'public') yields swap=true and dropStaging runs DROP SCHEMA public CASCADE. The gRPC/HTTP verbs pass request bytes straight through with no check that the address was ever issued by openStaging (stagingSchemaPrefix is never consulted on the terminal path).",CONFIRMED,critical,"stagedSwapTarget/dropStaging never require the rimsky_stg_ prefix on the staging identifier, and the verbs pass wire bytes straight through, so address:'public' drives DROP SCHEMA public CASCADE (Abandon/Release) or ALTER SCHEMA public RENAME (Commit).",batch6:C075,,fix-code,Require the staging/target schema identifier to carry the rimsky_stg_ prefix before any DROP/RENAME so wire-supplied address bytes cannot drop or rename arbitrary schemas.
1834,critical,argv-flag-injection-allowlist-bypass,lib/services/executors/claude-agent/clirunner.go,133,"Node-config strings are spliced raw into claude argv — an add_dirs entry (or model/permission_mode/max_budget_usd value) beginning with '--' injects arbitrary CLI flags, letting a template bypass the operator MCP allowlist boundary.","BuildClaudeCliArgs appends req.AddDirs... unvalidated (from cli[add_dirs]); AddDirs:[--mcp-config, /agent-writable.json] is parsed by the CLI as flags, defeating the RIMSKY_CLAUDE_AGENT_MCP_ALLOWLIST exact boundary in CLAUDE.md. No entry checked for leading '-' or path shape.",CONFIRMED,major,"BuildClaudeCliArgs splices req.AddDirs raw after a single --add-dir with no leading-dash guard; a '--'-prefixed node-config entry breaks out of the variadic and injects arbitrary claude flags — real injection against the operator boundary, but the executor process is already node-config-trusted so major not critical.",batch7:C077,,fix-code,Stop splicing raw node-config strings (add_dirs/model/permission_mode/max_budget_usd) into claude argv; reject or safely pass values so a leading '--' cannot inject CLI flags.
1835,major,callback-token-leak-via-argv,lib/services/executors/claude-agent/clirunner.go,143,"The rendered user prompt containing the callback_token is passed as a single argv element (-p req.UserPrompt), making the dispatch-hijack token world-readable via /proc/<pid>/cmdline on shared hosts.","agentrun.go:267-270 embeds callback_token into renderedUser; the token is already delivered safely via env (RIMSKY_CALLBACK_TOKEN), so the argv copy only adds exposure — any local user can forge report_complete/report_error.",REFUTED,minor,"Premise wrong: the callback MCP tools require token as an explicit argument and the agent learns it only from the in-prompt callback_token; RIMSKY_CALLBACK_TOKEN is set in child env but read nowhere, so the prompt copy is load-bearing, not a redundant duplicate of an env-delivered secret.",batch7:C077,,,
1838,major,resume-drops-restrictions,lib/services/executors/claude-agent/clirunner.go,71,"CliResumeRequest carries no DisallowedTools, PermissionMode, Model, Bare, AddDirs, or MaxBudgetUSD, so a park-resumed or reminder-resumed session runs without the node's disallowed_tools restriction or budget cap.",BuildClaudeCliResumeArgs emits only --resume/--print/--output-format/--verbose/--allowedTools/--mcp-config/-p; the spawn path enforces --disallowedTools and --max-budget-usd. A node with disallowed_tools:[Bash] loses that on every resume leg.,CONFIRMED,major,"CliResumeRequest/BuildClaudeCliResumeArgs omit DisallowedTools, PermissionMode, Model, and MaxBudgetUSD, so resumed legs run without the node's disallowed_tools restriction and without the per-invocation budget cap the spawn path enforces.",batch7:C077,,fix-code,"Carry DisallowedTools, PermissionMode, Model, Bare, AddDirs, and MaxBudgetUSD on CliResumeRequest so park/reminder-resumed sessions keep disallowed_tools and budget enforcement."
1840,major,allowlist-pins-name-only,lib/services/executors/claude-agent/agentrun.go,933,"The operator MCP allowlist gates only the server name, so a node can declare any allowlisted name with transport stdio and an arbitrary command/args/env (or an arbitrary http URL), reducing the operator boundary to a label check.",resolveHostServers checks allowlist.Allows(s.Name) then unconditionally accepts node-supplied Command/Args/Env for stdio and URL/Headers for http — an operator who allowlists 'search' expecting HTTP has granted arbitrary process execution under an approved name.,CONFIRMED,minor,"resolveHostServers gates only allowlist.Allows(s.Name) then accepts node-supplied transport/Command/Args/Env, so an allowlisted name can carry an arbitrary stdio command; factually correct but the allowlist is documented as name-only, a boundary-strength observation rather than a clear defect.",batch7:C077,,,
1841,minor,retry-rate-limit-undetected,lib/services/executors/claude-agent/agentrun.go,778,"The reminder-retry leg neither accumulates stderr nor runs DetectRateLimit on the retry exit, so a rate-limited retry surfaces as agent/subprocess_exit/before_complete instead of a park.",retryHandle.OnStderr only logs while the first handle's OnStderr appends to state.stderrBuf; after retryResult the code jumps to before_complete with no DetectRateLimit call.,unverified,,,batch7:C077,,,
1843,minor,oauth-token-env-exposure,lib/services/executors/claude-agent/clienv.go,68,CLAUDE_CODE_OAUTH_TOKEN is handed to the child via plain env — readable by the agent through Bash and inherited by every stdio MCP server — while the API-key path deliberately avoids env via apiKeyHelper indirection.,"API-key branch builds a temp HOME with settings.json apiKeyHelper so the key never enters child env; the OAuth branch sets env[CLAUDE_CODE_OAUTH_TOKEN] directly, so children and the bypassPermissions agent can exfiltrate the long-lived credential.",unverified,," | ACCEPTED 2026-07-15 (user ruling A): env is the claude CLI's OAuth channel; a bypassPermissions Bash-enabled agent can read any credential the CLI holds (incl. the api-key file), so env vs file is marginal; 1840 removed the stdio-child inheritance vector under a closed allowlist. No safe file-based fix without a real-CLI OAuth test this repo can't run.",batch7:C077,,accept,
1849,minor,prompt-via-argv-arg-max,lib/services/executors/claude-agent/clirunner.go,143,"The full user prompt is passed as one argv element, so prompts beyond MAX_ARG_STRLEN (128 KiB on Linux) make exec fail with E2BIG and the dispatch errors as agent/cli_spawn_failed.","args = append(args, -p, req.UserPrompt) while the system prompt already goes through a temp file (--system-prompt-file); user_prompt is unbounded node-config input.",unverified,,,batch7:C077,,,
1856,minor,rate-limit-header-gap,lib/services/executors/claude-agent/ratelimit.go,23,"epochResetRe matches anthropic-ratelimit-reset and -tokens-reset but not the -requests-reset header, so request-limit resets never yield a resume_at.","epochResetRe = anthropic-ratelimit(?:-tokens)?-reset; a request-rate 429 whose only reset hint is anthropic-ratelimit-requests-reset returns nil, producing an indefinite park.",unverified,,,batch7:C078,,,
1860,minor,auth-posture,lib/services/executors/claude-agent/moduleloopback.go,84,"The module-loopback MCP server exposes its tools with no per-call token gate, unlike the callback server which requires a token argument on every tool.",moduleToolProvider.callTool dispatches directly to the module's handler with no token check; any co-located process that discovers the random loopback port can invoke module tools without a capability — weaker than the sibling callback server.,unverified,,,batch7:C078,,,
1874,minor,token-registry-no-expiry,lib/services/executors/claude-agent/tokenregistry.go,111,"TokenRegistry entries have no TTL — the loopback bearer token stays valid until the run resolves, so with both silence and tool-use timeouts defaulted to 0 a wedged run keeps its callback token live indefinitely.","plain map with Register/Lookup/Release and no expiry; release happens only after the outcome channel yields, and both watchdog timeouts default to 0; the mcpSessionTable idle-evicts sessions but not tokens.",unverified,,,batch7:C079,,,
1882,major,ssrf-no-egress-control,lib/services/executors/http-node/server.go,161,"http-node issues requests to any attacker-supplied URL with no operator egress boundary — no host/CIDR allowlist, no private-range or link-local (169.254.169.254 metadata) blocking, no scheme restriction — and feeds the response body back into node attributes.","urlStr comes straight from node attributes (ud[url]) into http.NewRequestWithContext and s.client.Do with a default transport; no env-configurable boundary exists, unlike the claude-agent MCP/expose-env allowlists documented in CLAUDE.md.",CONFIRMED,major,"The URL flows from node attributes into client.Do with no allowlist, private-range, or metadata-endpoint blocking, and the response body is fed back into attributes — a genuine egress/SSRF gap for an outbound-HTTP executor.",batch7:C080,,fix-code,"Add an operator egress boundary to http-node: host/CIDR allowlist, private-range/link-local (metadata) blocking, and scheme restriction before fetching attacker-supplied URLs."
1883,major,unauthenticated-execute-bridge,lib/services/executors/http-node/bridge.go,17,"The HTTP /v1/Execute bridge binds 0.0.0.0 with no authentication, so anyone with network reach can drive arbitrary outbound HTTP requests through the executor and read the full response via the returned attributes — a network-reachable SSRF oracle.",MountBridge registers /v1/Execute with no auth check; cmd/main serves it on default host 0.0.0.0 and Dockerfile EXPOSEs 9092; MountTraceBridge/HandleTraceStreamHTTP likewise expose trace reads unauthenticated.,CONFIRMED,minor,"The /v1/Execute bridge is unauthenticated on 0.0.0.0, compounding the SSRF oracle, but unauthenticated executors are the platform-wide trust model so the incremental risk over the existing gRPC surface is limited.",batch7:C080,,,
1928,major,ssrf-open-egress,lib/services/sensors/sensor-http/sensor.go,258,"sensor-http polls any template-supplied URL with no scheme/host restriction, no private-range or link-local guard, no redirect policy, and no operator allowlist, and forwards the entire response body into the instance message — an SSRF read primitive against internal networks and cloud metadata for anyone who can author a template.","pollOne builds http.NewRequestWithContext(ctx, GET, w.URL, nil) straight from resolved_config with the default-transport client (follows up to 10 redirects); obs[body] = full response body is posted. No egress allowlist knob, unlike the claude-agent MCP/expose-env allowlists in CLAUDE.md.",CONFIRMED,major,"pollOne dials any resolved_config URL with the default redirect-following client and forwards the full body into the instance message, with no scheme/host/private-range guard or operator egress allowlist — a real SSRF read primitive for template authors.",batch7:C082,,fix-code,"Add scheme/host allowlist, private-range/link-local guard, and redirect policy to sensor-http before polling template-supplied URLs and forwarding response bodies."
1947,critical,no-webhook-authentication-or-signature-verification,lib/services/sensors/sensor-webhook/sensor.go,170,"Inbound webhooks are entirely unauthenticated — no HMAC/signature verification, no shared secret, no timestamp/replay window — so anyone who can reach the port injects arbitrary messages into the bound rimsky instance.","The config schema offers only path_prefix and idempotency_header; serveWebhook validates nothing beyond the exact path, and the payload (including forged idempotency keys, which can suppress later legitimate events) flows straight into postMessage. Request headers are not captured, so downstream consumers cannot verify signatures either.",CONFIRMED,major,serveWebhook validates only the path — no HMAC/signature/secret/timestamp and request headers aren't captured — so anyone reaching the port injects arbitrary messages (and can pre-seed forged idempotency keys); unauthenticated-by-default ingress with no documented auth invariant.,batch7:C083,,fix-code,Add HMAC/signature verification (shared secret + timestamp/replay window) to inbound webhooks so arbitrary callers cannot inject messages into the bound instance.
1949,major,unbounded-request-body-read,lib/services/sensors/sensor-webhook/sensor.go,171,"serveWebhook reads the untrusted request body with io.ReadAll and no size cap, allowing memory-exhaustion DoS on an unauthenticated endpoint.","body,err := io.ReadAll(req.Body) with no MaxBytesReader and no MaxHeaderBytes/body limit in main.go's http.Server; a single attacker POST of arbitrary size is buffered fully, then JSON-decoded and re-marshalled (three copies).",CONFIRMED,major,"serveWebhook io.ReadAll's the untrusted body with no MaxBytesReader and main.go's http.Server sets no body limit, so an unauthenticated POST of arbitrary size buffers fully — real memory-exhaustion DoS.",batch7:C083,,fix-code,Cap the inbound webhook body read (http.MaxBytesReader) to prevent memory-exhaustion DoS on the unauthenticated endpoint.
1956,minor,instance-id-unescaped-in-url,lib/services/sensors/sensor-object-store/sensor.go,410,"The instance ID from the unauthenticated gRPC Subscribe surface is interpolated into the message-send URL path without url.PathEscape, allowing path traversal to other control-api routes.","url = TrimRight(endpoint,/) + /v1/instances/ + w.InstanceID + /messages (same in webhook); an InstanceID like ../../other/route redirects the POST elsewhere. The gRPC server accepts Subscribe from anyone on the network.",unverified,,,batch7:C083,,,
1967,minor,no-backend-auth,lib/services/subscribers/openlineage/emitter.go,72,The emitter supports no authentication toward the OpenLineage backend — no API-key/Bearer header config — so secured receivers (the OpenLineage HTTP transport's standard apiKey auth) are unusable with the bundled subscriber.,emitter.go sets only Content-Type; config.go defines no auth variable.,unverified,,,batch7:C084,,,
2025,major,missing-auth-coverage,lib/services/test/scenarios/sensor_webhook_e2e_test.go,88,"The test codifies unauthenticated webhook ingress as expected behavior — an anonymous POST with no credential is asserted to return 200 and emit a message, and no test anywhere asserts a rejected unauthenticated/mis-signed POST.","postWebhook sends only Content-Type; line 88 requires status==200 for the bare POST. The sensor has zero auth surface, so the suite green-lights the confirmed unauthenticated-webhook vulnerability instead of failing on it.",REFUTED,minor,"Sensor has no auth surface by design and the test faithfully documents that; absence of a webhook-auth feature is a design/security opinion, not a masking test defect, and no invariant requires auth (the source-side auth gap stands separately as 1947).",batch7:C088,,,
2041,major,test-double-divergence-rate-limit,lib/services/test/scenarios/claude_agent_fake_cli/fakeclaude/main.go,65,"scenario:rate_limited emulates rate limiting as an MCP report_error tool call, which the real claude CLI never makes when rate-limited, so the executor's actual rate-limit path (stderr + non-zero exit -> DetectRateLimit -> park) is never exercised cross-stack.","The real executor calls DetectRateLimit on stderrBuf and default handle_rate_limits=true produces OutcomeParkRequested, not an error. The fake instead calls report_error {error_class:agent/rate_limited}, exercising only declared-error routing; a regression in DetectRateLimit/stderr buffering/park plumbing would pass every cross-stack test. Faithful emulation would write '429 rate_limit_error' to stderr and exit non-zero.",CONFIRMED,major,"The fake emits rate limiting as an MCP report_error declared-class call, never the real stderr+non-zero-exit path that drives DetectRateLimit to default OutcomeParkRequested, so the park plumbing is never exercised cross-stack.",batch7:C090,,fix-code,"Make scenario:rate_limited emit stderr + non-zero exit like the real CLI so DetectRateLimit -> park is exercised cross-stack, not an MCP report_error call."
2091,major,auth-bypass-blessed-by-test,test/scenarios/host_agent_harness_test.go,139,"The host-agent fixture connects the agent using the key ID (a non-secret identifier) as its API key and every dispatch succeeds, so the suite blesses routing-by-plaintext-identifier with zero key verification and contains no negative test that a wrong/unauthenticated key is rejected.","adminKey, ownerKeyID = MintAdminKey; agentRoutingKey = ownerKeyID; startAgent sets cfg.APIKey = ownerKeyID (the ID not the secret). All owner-routed dispatches succeed, proving the proxy performs no secret verification; no host-agent scenario asserts a bogus key is refused.",CONFIRMED,major,"startAgent sets cfg.APIKey = ownerKeyID (the non-secret key ID) and all dispatches succeed, and no host-agent scenario asserts a bogus/unauthenticated key is refused, so the suite blesses routing-by-plaintext-identifier with zero negative coverage.",batch7:C094,1,,
2129,minor,bypasses-operator-surface,test/scenarios/operator_invalidate_queues_during_flight_test.go,80,"Despite the @story tag, the test seeds the invalidate by calling persistence CreateNonCascadeStale directly (and hand-Upserts the prior_marker bag), never driving the operator control-surface path that production uses.","Writes via NodeAttributes().Upsert and Nodes().CreateNonCascadeStale; the real operator entry point (debug_override.go creating operator_invalidate rows) is untouched, so route-level regressions in bag carry-forward would not surface.",unverified,,,batch7:C096,,,
2177,major,missing-negative-test-toctou,test/scenarios/auth/lifecycle_test.go,412,"TestRevokeGuard_RefuseLastKey only exercises the last-active-key guard single-threaded, so the confirmed last-active-key revoke TOCTOU is blessed by omission.",The test does one sequential DELETE without force (409) then one with force (200). No test fires two concurrent revokes against distinct keys where each observes count>1 pre-removal and both proceed to zero active keys. The anonymous-mode revoke guard has no concurrency proof.,CONFIRMED,minor,"auth/lifecycle_test.go:412 RefuseLastKey single-threaded; guard auth_handlers.go:211-231 is non-tx read-then-act so TOCTOU plausible, but worst outcome is anonymous mode (valid state) -> minor.",batch8:C101,,,
2178,major,asset-authz-bless-by-omission,test/scenarios/auth/dry_run_coverage_test.go,365,"asset:delete is exercised only with the admin key under dry-run; no test drives asset access with an insufficient-permission principal, so the confirmed asset authorization gap passes review.",asset:delete case uses adminKey and only asserts no-mutation. grant_scope_lifecycle_test.go enforces template_tag scope for template/tag/instance actions but omits asset:delete and asset:read entirely — there is no negative test that a scoped/narrow key is denied an out-of-scope asset.,REFUTED,nit,"asset:read/asset:delete (actions.go:367-379) declare NO ScopeDimensions, so authz is pure action-permission via the uniform gate()->gateByAction path. The generic denial IS tested: grant_scope_test.go:44 asserts an out-of-scope action returns 403 via the same gate. No asset-specific authz logic, no confirmed gap; bless-by-omission overstated.",batch8:C101,,,
2179,minor,missing-secret-redaction-assertion,test/scenarios/auth/audit_read_test.go,307,The audit-content tests assert presence of key_id/action/permissions but never assert that audit payloads exclude the bearer plaintext or Authorization value.,"Payload loop and lifecycle audit assertions positively check fields including permissions but no test asserts a minted/rotated plaintext or Authorization header never appears in any auth.* event payload — given the fails-open redact path (redact.go skips dotted keys), secret leakage into the event log is unguarded here.",unverified,,,batch8:C101,,,
