id,severity,category,file,line,summary,evidence,verdict,verified_severity,verify_note,source,duplicate_of,direction,remediation,phase1_classification,phase1_direction,phase1_verdict,phase1_provenance,phase1_note,phase1_applied
442,major,currency,.ok-planner/design/concepts/lineage-record.md,30,"Doc claims the leaf-run record captures the frame trigger (line 30 ""the frame trigger that started its cascade""; Definition line 13 ""what triggered its frame""), but the code never populates it — the record has no frame-trigger data at any current build.","design-drift-doc-stale. code:lib/runtime/lineage_writer.go::LeafRunRecord has FrameTriggerKind + TriggerMessageID fields, but EmitLeafRunLineage (the only writer path) never assigns them, and LeafRunEmitInput has no such fields to carry them. code:lib/runtime/lineage_writer.go::missingLeafRunFields explicitly enumerates frame_trigger_kind and trigger_message_id (and executor_version) as unavailable, and logMissingFieldsOnce logs them as 'fields unavailable at this build level'. The openlineage emitter reads these keys back out (emitter.go) but always gets empty. Code is authoritative and self-declares the gap, so the doc describes an unrealized capture.",CONFIRMED,major,LeafRunRecord has FrameTriggerKind + TriggerMessageID (lineage_writer.go:46-47) but EmitLeafRunLineage (189-208) never assigns them and LeafRunEmitInput (142-161) has no such fields. missingLeafRunFields (249-261) enumerates frame_trigger_kind + trigger_message_id as unavailable; logMissingFieldsOnce logs 'fields unavailable at this build level'. Doc line 13/30 assert the record captures the frame trigger; code never realizes it.,batch1:K-lineage-record,,fix-code,lineage-record.md claims the leaf-run record captures the frame trigger but no build populates it — decide whether to populate it or drop the claim.,defect,fix-code,CONFIRMED,transcript,"The dossier already adjudicated this exact finding as fix-code with transcript-tier provenance: the doc's claim that the record captures the frame trigger is the correct, settled intent, and the code has not caught up yet. No doc edit is warranted; the code fix is queued only per the hard constraint against touching code.",false
443,minor,currency,.ok-planner/design/concepts/lineage-record.md,26,"Invariant ""All fields are scalars (no payload bytes)"" contradicts the actual record shape, which carries open map fields capable of holding arbitrary (including byte) content.","design-drift-doc-stale. code:lib/runtime/lineage_writer.go::LeafRunRecord.Extra is map[string]any and ClaimTerminalRecord.ProducerMetadata is map[string]any — non-scalar. They are currently unassigned by the writers, but they are part of the record shape the invariant describes, so the flat 'all fields are scalars' claim is untrue of the type as it stands.",CONFIRMED,minor,"LeafRunRecord.Extra and ClaimTerminalRecord.ProducerMetadata are map[string]any (lineage_writer.go:62,79) — non-scalar fields on the record type, contradicting the flat 'all fields are scalars' invariant. Both are currently unassigned by the writers, so in practice records are scalar; the mismatch is with the type as declared, hence precision gap not behavior.",batch1:K-lineage-record,,,,defect,fix-doc,CONFIRMED,corroborated,"The record type deliberately (per shape-pinning tests) carries open structured-metadata extension fields; the doc's blanket 'all fields are scalars' overclaims. Narrowed the invariant to the true load-bearing guarantee (hash not bytes, inertness discipline) while acknowledging the open extension fields, rather than asserting a closed-scalar shape the type does not have.",true
444,minor,currency,.ok-planner/design/concepts/lineage-record.md,34,"The cause-discriminator description overstates what lands on the claim-terminal record and mislabels the natural-abandon cause as ""the error-policy give-up path"".","design-drift-doc-stale. code:lib/runtime/terminal_decision_forensics.go::emitTerminalForensics sets rec.Cause only for OutcomeAbandonSiblingCancel / OutcomeAbandonDescendantCancel (the two force-cancelled sub-kinds). A natural abandon (OutcomeAbandon) leaves the record's Cause EMPTY — discriminated instead by outcome=""abandoned"" — so the record's cause has two populated values, not the three the doc lists. Also OutcomeAbandon (CauseString ""natural"") is produced by multiple paths (held-cascade-defer, auto-terminal, etc.), not solely the error-policy give-up path, so naming that cause ""the error-policy give-up path"" is too narrow.",CONFIRMED,minor,"emitTerminalForensics sets rec.Cause only for OutcomeAbandonSiblingCancel ('sibling_cancel') / OutcomeAbandonDescendantCancel ('descendant_cancel') (forensics.go:65-68). Natural OutcomeAbandon (CauseString 'natural') leaves rec.Cause EMPTY — discriminated by outcome='abandoned'. So the record carries two populated cause values, not the three the doc lists. OutcomeAbandon is produced by multiple paths (auto_terminal, held_cascade_defer, runner_terminal_release), so labeling its cause 'the error-policy give-up path' is too narrow.",batch1:K-lineage-record,,,,defect,fix-doc,CONFIRMED,corroborated,"This is a stable, complete, non-self-declared-incomplete mechanism (unlike 442) — the two-value cause discriminator plus outcome-implied natural-abandon is the shipped design, not a gap. The doc's three-cause enumeration and the 'error-policy give-up path' label were simply inaccurate; corrected to describe the actual two-way force-cancelled discriminator with natural abandon carrying no separate cause value.",true
445,minor,clarity,.ok-planner/design/concepts/lineage-record.md,34,"The claim-terminal capture list omits the resolved substrate version (VersionID) — the datum concept:lineage calls the core ""what each claim-handle resolved to"" — and the ""substrate identity (as a hash)"" phrasing conflates two distinct captured fields.","code:lib/runtime/lineage_writer.go::ClaimTerminalRecord captures BOTH ClaimScopeDataHash (a sha256 hash of the claim scope, set from HashBytes(td.Scope)) AND VersionID (the resolved substrate version, stored RAW, not hashed — see emitTerminalForensics preferVersionID). The doc's capture list (line 34) mentions only ""the substrate identity (as a hash)"" and never the resolved VersionID, though concept:lineage line 11 makes 'what each claim-handle resolved to' a defining datum of the projection.",CONFIRMED,minor,"ClaimTerminalRecord captures both ClaimScopeDataHash (HashBytes(td.Scope)) and VersionID stored raw via preferVersionID (lineage_writer.go:75-76, forensics.go:61-62). Doc line 34 capture list names only 'the substrate identity (as a hash)' and omits the resolved VersionID, though concept:lineage line 11 makes 'what each claim-handle resolved to' a defining datum.",batch1:K-lineage-record,,,,defect,fix-doc,CONFIRMED,corroborated,The resolved substrate version is a defining datum per the sibling concept:lineage and is already captured and stable in code; the doc's capture list simply omitted it and conflated it with the hash field. Updated the capture list to name both the content hash and the resolved substrate version distinctly.,true
446,nit,self-containment,.ok-planner/design/concepts/lineage-record.md,30,"The concept defers its concrete value sets and emit-site mappings to ""the lineage spec"" twice (lines 30 and 34), making a self-contained design doc depend on an out-of-context spec artifact for completeness.","Lines 30 and 34 both end with ""concrete values and emit-site mappings live with the lineage spec"". Specs are point-in-time records archived to .ok-planner/history/; a concept body is supposed to be self-contained. The concrete values already exist as durable code identities (persistence.LineageOutcome* constants, runtime.TerminalOutcome, the terminal-kind strings), so the concept can state them or treat them as an implementation detail rather than pointing at a spec that will rot.",CONFIRMED,nit,"Lines 30 and 34 both defer 'concrete values and emit-site mappings live with the lineage spec' — a self-contained concept body pointing at an out-of-context (archivable) spec artifact. Concrete values exist as durable code identities (LineageOutcome* constants, CauseString values), so the deferral is a self-containment nit.",batch1:K-lineage-record,,,,defect,fix-doc,CONFIRMED,corroborated,Pointing a concept body at a point-in-time spec artifact violates the self-containment rule and will rot once the spec is archived to history. Removed both 'lives with the lineage spec' sentences; the surrounding prose already states the conceptual content (closed families) without needing the spec pointer.,true
447,major,design-drift-doc-stale,.ok-planner/design/concepts/lineage.md,22,"Invariant says the projection writer runs 'at claim-handle commit', but claim-terminal records are written at every claim-handle terminal (commit, natural abandon, force-cancelled). This contradicts this doc's own Definition and concept:lineage-record.","lineage.md:22 'The projection writer runs at leaf-run terminal and at claim-handle commit.' But lineage.md:13 says 'The projection captures every claim-handle terminal', and concept:lineage-record invariant (lineage-record.md:24) says records emit 'at the unified terminal-decision engine's forensics emit site, so every commit / abandon / force-cancelled resolution lands a record'. Code confirms: lib/runtime/terminal_decision_forensics.go::terminalOutcomeKey maps OutcomeCommit->committed, sibling/descendant-cancel->force_cancelled, else->abandoned, and emitTerminalForensics writes for all outcomes (not only commit). Doc side is stale/incomplete.",CONFIRMED,major,"lineage.md:22 'The projection writer runs at leaf-run terminal and at claim-handle commit.' Code terminal_decision_forensics.go::terminalOutcomeKey maps OutcomeCommit->committed, sibling/descendant-cancel->force_cancelled, else->abandoned; emitTerminalForensics writes WriteClaimTerminalLineage for ALL outcomes. Invariant text narrows to 'commit' only, contradicting same doc's line 13 ('captures every claim-handle terminal') and the code. Materially misleading about lineage completeness for abandons/cancels. Confirmed; drift is doc-stale.",batch1:K-lineage,,fix-doc,"lineage.md: claim-terminal/projection records are written at every claim terminal (commit, natural abandon, force-cancel), not only at commit.",defect,fix-doc,CONFIRMED,corroborated,"Dossier's three-valued outcome discriminator only makes sense if claim-terminal records are written at every terminal disposition, not only commit; doc line 22 was an isolated stale phrase contradicting the rest of the same doc. Corrected to 'claim-handle terminal (commit, natural abandon, or force-cancelled abandon)'.",true
448,major,design-drift-doc-stale,.ok-planner/design/concepts/lineage.md,32,"Retention is described as coupled to the corresponding artifact's retention ('as long as the corresponding artifact is retained, plus a configurable trailing window'), but the code applies a flat time-based trailing window uncoupled from run/claim retention.","lineage.md:32 'retain a lineage record as long as the corresponding artifact (run or claim handle) is retained, plus a configurable trailing window.' Code lib/runtime/retention_sweeps.go::SweepLineageRetention computes cutoff = now.Add(-cfg.LineageTrailing) and calls lt.DeleteOlderThan(cutoff) — a standalone trailing window over ObservedAt with no reference to run/claim retention. RetentionConfig carries independent TraceTrailing / LineageTrailing / ClaimHandlesTrailing durations, not a coupling. Doc over-claims the retention behavior.",CONFIRMED,major,"lineage.md:32 claims retention coupled to artifact retention plus trailing window. retention_sweeps.go::SweepLineageRetention computes cutoff=now.Add(-cfg.LineageTrailing) and calls lt.DeleteOlderThan(cutoff) over ObservedAt — a flat trailing window with no reference to run/claim retention. RetentionConfig holds independent TraceTrailing/LineageTrailing/ClaimHandlesTrailing, not a coupling. Doc over-claims. Confirmed doc-stale.",batch1:K-lineage,,fix-doc,lineage.md retention: code applies a flat trailing window uncoupled from artifact retention — decide whether to couple retention or restate the doc.,defect,fix-doc,CONFIRMED,transcript,"Dossier explicitly rules this fix-doc at transcript tier, naming finding 448 by id. Retention section rewritten to describe the flat, artifact-independent trailing window.",true
449,major,design-drift-doc-stale,.ok-planner/design/concepts/lineage.md,17,"Boundaries claims the concept 'Owns: ... the projection-rebuild path', and Definition/Invariant call the projection 'rebuildable from the audit log plus the claim-handle lifecycle', but no rebuild path exists in code — the projection is written forward-only at terminal time.",lineage.md:17 'Owns: ... the projection-rebuild path.'; lineage.md:11 and :22 'materialized view rebuildable from the audit log plus the claim-handle lifecycle.' rg for 'RebuildLineage|rebuild.*lineage|reconstruct.*lineage' across lib/ and cmd/ returns nothing. The only writers are lib/runtime/lineage_writer.go (WriteLeafRunLineage/WriteClaimTerminalLineage at terminal emit) and lib/runtime/terminal_decision_forensics.go — forward-only; there is no code that reconstructs the projection from the event-log. Doc names an owned path that does not exist.,CONFIRMED,major,lineage.md:17 'Owns: ... the projection-rebuild path' and :11/:22 'rebuildable from the audit log'. rg for RebuildLineage/rebuild.*lineage/reconstruct.*lineage across lib/ and cmd/ returns nothing. Only writers are lineage_writer.go and terminal_decision_forensics.go — forward-only at terminal emit. No reconstruction code exists. Concept names an owned path that does not exist. Confirmed.,batch1:K-lineage,,fix-doc,lineage.md claims an owned projection-rebuild path (rebuildable from audit log) but writes are forward-only — decide whether to build rebuild or drop the ownership/invariant.,defect,fix-doc,CONFIRMED,transcript,"Dossier explicitly rules this fix-doc at transcript tier, naming finding 449 by id. Removed 'the projection-rebuild path' from Boundaries Owns, and reworded Definition/Invariants to say the projection is written forward from the audit log and claim-handle lifecycle rather than rebuildable/reconstructable from them.",true
450,minor,design-drift-doc-stale,.ok-planner/design/concepts/lineage.md,28,"Query surface says 'recursive backward/forward walks across runs and claim handles', but claim-handle walks are backward-only (ancestors); there is no claim-handle descendants walk.","lineage.md:28 'recursive backward/forward walks across runs and claim handles bounded by depth.' Code lib/control/controlapi/lineage.go::registerLineageRoutes registers /lineage/runs/{id}/ancestors AND /descendants (both directions for runs), but for claims only /lineage/claims/{id}/ancestors — no descendants route/handler. 'forward ... across claim handles' has no implementation.",CONFIRMED,minor,"lineage.md:28 claims 'backward/forward walks across runs and claim handles'. controlapi/lineage.go::registerLineageRoutes registers runs/{id}/ancestors AND /descendants, but only claims/{id}/ancestors — no claim descendants route. Doc's bidirectional claim for claim handles over-claims. CORRECTION to finding's note: the single claim route (handleLineageClaimAncestors) actually walks sub_claim_handle_ids i.e. CHILDREN/descendants, so it is forward-only, not 'backward-only (ancestors)' as the finding states — the route is itself mislabeled. Conclusion (only one direction exists for claims) holds regardless.",batch1:K-lineage,,,,design-call,design-call,CONFIRMED,artifact-only,"Design-call: the dossier never specifies whether claim-handle lineage walks were meant to be symmetric (ancestors+descendants) like run walks, or one-directional by design (e.g. only the claim-tree descendant walk matters for lineage). Question for a human: should a claims/{id}/descendants (or renamed/corrected) route be added to match the doc, or should the doc be narrowed to the one direction that exists — and separately, should the existing 'ancestors' route be renamed since it functionally walks children? Left lineage.md:28 unedited pending this decision.",false
451,minor,clarity,.ok-planner/design/concepts/lineage.md,11,"Definition says substitution refs capture 'every {{nodes.X.attribute.Y}} lookup the executor's attribute template performed', implying runtime capture of lookups actually performed; code derives refs statically from the node definition's declared attributes and resolves each to the most-recent leaf-run of the sender node.","lineage.md:11. Code lib/runtime/lineage_writer.go::CollectSubstitutionRefsForEmit calls graph/node.SubstitutionRefsFromAttributes(*acq.NodeDef) (static extraction from the node def's attribute templates), then mostRecentRunIDForNode(...) to bind each sender to its latest leaf-run — not a record of lookups executed at runtime. Wording overstates the mechanism.",CONFIRMED,minor,"lineage.md:11 implies runtime capture of lookups the executor performed. lineage_writer.go::CollectSubstitutionRefsForEmit calls graphnode.SubstitutionRefsFromAttributes(*acq.NodeDef) — static extraction from node-def attribute templates — then mostRecentRunIDForNode to bind each sender to its latest leaf-run. No record of runtime lookups executed. Wording overstates mechanism. Clarity, minor.",batch1:K-lineage,,,,defect,fix-doc,CONFIRMED,corroborated,"concept:node-subscription (design corpus, independent of code) already establishes substitution refs as statically declared per the node's attribute schema and validated at registration, which corroborates the code's static-extraction mechanism and contradicts the doc's 'lookup ... performed' runtime-capture phrasing. Reworded to 'reference declared in the node's attribute schema ... citation to the sender's most recent run'.",true
452,nit,clarity,.ok-planner/design/concepts/lineage.md,23,Redundant/garbled phrasing 'Causal causality for these runs lives in the audit log's signal-emission and cascade-firing rows'.,"lineage.md:23 'Causal causality for these runs lives in the audit log's signal-emission and cascade-firing rows, not in lineage.' 'Causal causality' is a doubled term; intended sense is 'causality' or 'causal information'.",CONFIRMED,nit,"lineage.md:23 'Causal causality for these runs lives in the audit log's signal-emission and cascade-firing rows, not in lineage.' 'Causal causality' is a doubled term. Nit confirmed verbatim.",batch1:K-lineage,,,,defect,fix-doc,CONFIRMED,corroborated,"Verbatim doubled-word typo; no intent question, just a textual correction. Changed 'Causal causality' to 'Causality'.",true
453,major,currency,.ok-planner/design/concepts/message-schema.md,29,"Wrong invariant cross-reference for message-body inertness: cites invariant 21, but the inertness registry assigns message-payload inertness to §24 (design-drift-doc-stale).","message-schema.md:29 states ""The body remains inert at receipt (see invariant: 21)."" The authoritative registry concepts/inertness.md:33-35 defines the three inertness invariants explicitly: §20 = claim payload/address/scope (byte-opaque), §21 = ""blob content (carried by the blob-backend interface) and executor error payloads are structurally inert"", §24 = ""message payloads are inert. Read only at the substitution leaf ... and at the persistence-layer fetch."" The message body under discussion here IS the message payload, so the correct citation is §24, not §21 (which covers blob/executor-error streams). Following the current reference lands the reader on the wrong stream's invariant. (The sibling doc message.md:31 carries the same stale ""invariant: 21"" citation, confirming a shared drift rather than a one-off; inertness.md is the current authority.)",CONFIRMED,minor,"message-schema.md:29 cites 'invariant: 21' for message-body inertness. Authoritative registry inertness.md:35 assigns §24='message payloads are inert. Read only at the substitution leaf ... and at the persistence-layer fetch' while §21='blob content ... and executor error payloads'. The prose describes the message payload, so correct cite is §24. message.md:31 carries the same stale '21' — shared drift confirmed. Prose itself is correct; only the invariant number is wrong, so severity is minor (reference-number error), not major.",batch1:K-message-schema,,,,defect,fix-doc,CONFIRMED,corroborated,"Duplicate of the row-308 finding (same file, same line, same wrong citation). Already fixed by that edit — invariant: 21 corrected to invariant: 24; no separate edit needed.",true
454,major,design-drift-doc-stale,/Users/patrick/Documents/projects/research/rimsky/rimsky-core/.ok-planner/design/concepts/message-sender-node.md,24,"Invariant 2 describes the send transaction as ""envelope row + frame enqueue, atomic with each other"" — but the send-tx does not enqueue a frame. It inserts only the envelope row (plus a coalesce-cancel in coalesce mode). Frame opening is a separate downstream pickup step, so the stated atomic unit is wrong.","sendCascadeMessageInTx (lib/runtime/runner_send_message.go:42-98) runs one tx: MessageIdempotencies().InsertOrLookup + EnqueueMessage. EnqueueMessage (lib/runtime/message_delivery.go:27-56) does only Instances().Get, an optional CancelPendingForInstance (coalesce), and Messages().Insert — no Frames() write. Per concept:message.md:11 a message 'enqueues on the instance's message queue' and only 'opens the next frame' at pickup (SweepDeliverMessagesForRunningFrames / idle pickup), a distinct transaction. Code is authoritative: doc is stale.",CONFIRMED,major,"message-sender-node.md:24 states the send-tx atomic unit is 'envelope row + frame enqueue, atomic with each other'. sendCascadeMessageInTx (runner_send_message.go:42-98) runs MessageIdempotencies().InsertOrLookup + EnqueueMessage; EnqueueMessage (message_delivery.go:27-56) does Instances().Get, optional CancelPendingForInstance (coalesce), Messages().Insert — NO Frames() write. Frames open at pickup (SweepDeliverMessagesForRunningFrames), a distinct tx. The actual atomic unit is idempotency row + envelope row, not envelope+frame. Contradicts the enqueue-then-pickup model. Confirmed doc-stale, major.",batch1:K-message-sender-node,,fix-doc,"Fix message-sender-node.md invariant 2: the send tx inserts only the envelope row (plus coalesce-cancel); frame opening is a separate downstream pickup, not part of the atomic unit.",defect,fix-doc,CONFIRMED,transcript,"message-sender-node.md was NOT touched by the parallel remediation pass (git status shows no pending change on this file prior to this ruling), so the finding was still live. The doc's claimed atomic unit (envelope + frame enqueue) contradicted both the code and the dossier's own transcript-tier statement that the send-tx is separate from terminal-resolution and that frame delivery is a distinct downstream step. Fixed invariant 2 in message-sender-node.md to state the send-tx is atomic with the idempotency record only, and that frame opening is a separate downstream pickup step.",true
455,minor,design-drift-doc-stale,/Users/patrick/Documents/projects/research/rimsky/rimsky-core/.ok-planner/design/concepts/message-sender-node.md,23,"Invariant 1 enumerates the exact-shape match as ""same field set, same types"" but omits the required-set exact match that the validator also enforces in both directions. The precise invariant should name required-set equality as a third checked dimension.",validateSendsMessage (lib/graph/node/template_validator.go:976-995) rejects both a node-required field absent from the body's required set and a body-required field absent from the node's required set ('required: sets must match exactly'). Two schemas with identical fields/types but differing required sets are rejected — a dimension the invariant text does not mention.,CONFIRMED,minor,"message-sender-node.md:23 invariant 1 says 'same field set, same types'. template_validator.go:976-995 (validateSendsMessage) rejects both node-required-absent-from-body and body-required-absent-from-node ('required: sets must match exactly'). Required-set equality is a third checked dimension the invariant omits. Confirmed doc-stale, minor.",batch1:K-message-sender-node,,,,defect,fix-doc,CONFIRMED,corroborated,"message-sender-node.md was not touched by the parallel remediation pass, so this finding was still live. The doc's invariant omitted required-set equality even though the validator enforces it as a distinct, explicit check consistent with the dossier's 'exact shape match' framing. Fixed invariant 1 to add 'same required-field set' as a third checked dimension.",true
456,minor,CLARITY,/Users/patrick/Documents/projects/research/rimsky/rimsky-core/.ok-planner/design/concepts/message-sender-node.md,25,"Invariant 3's ""no other path opens a frame"" reads as an absolute that contradicts concept:message, where operator-sent, publisher-sent, and sensor-sent messages also open frames via the same enqueue-then-pickup path. The intended claim is that no path from within the graph/cascade opens a frame; the qualifier is missing.","concept:message.md:27 documents three send sites (operator API, publisher, cascade) all landing in the same ledger and opening frames at pickup. Read literally, invariant 3 denies the operator/publisher frame-opening paths that concept:message affirms. The distinguishing point (only cascade-send is graph-expressed cross-frame coupling) needs stating explicitly.",CONFIRMED,minor,"message-sender-node.md:25 invariant 3 'no other path opens a frame' read literally contradicts message.md:27/:11 which document operator-sent and publisher-sent messages also opening frames via the same enqueue-then-pickup path. Intended claim is that no in-graph/cascade path opens a frame; qualifier missing. Clarity, minor confirmed.",batch1:K-message-sender-node,,,,,,,,,
457,minor,ADJACENCY,/Users/patrick/Documents/projects/research/rimsky/rimsky-core/.ok-planner/design/concepts/message-sender-node.md,19,concept:frame is materially load-bearing here — invariant 3 is entirely about opening frames and cross-frame coupling — but frame is not listed in the Boundaries 'Adjacent:' set. The reciprocal concept:message lists frame as adjacent.,"Adjacent list (line 19) names node, message, message-schema, attribute, node-subscription — omitting frame despite invariant 3 (line 25) turning on frame semantics. concept:message.md:23 lists concept:frame among its Adjacent set.",CONFIRMED,minor,"message-sender-node.md:19 Adjacent set (node, message, message-schema, attribute, node-subscription) omits frame; invariant at line 25 ('no other path opens a frame') is entirely about frame semantics, and reciprocal message.md:23 lists frame as Adjacent. Asymmetric adjacency confirmed.",batch1:K-message-sender-node,,,,,,,,,
458,nit,CLARITY,/Users/patrick/Documents/projects/research/rimsky/rimsky-core/.ok-planner/design/concepts/message-sender-node.md,11,"Grammar: ""what makes it an send-node is its dispatch field"" should read ""a send-node"".","Definition paragraph, last sentence (line 11).",CONFIRMED,nit,"Line 11 reads 'what makes it an send-node' — grammar error, should be 'a send-node'. Verified verbatim.",batch1:K-message-sender-node,,,,,,,,,
459,major,design-drift-doc-stale,.ok-planner/design/concepts/message.md,31,Payload-inert invariant cites the wrong invariant ID (21) — message payloads are governed by invariant 24.,"message.md line 31: ""Payload is inert (see invariant: 21). Read only at the substitution leaf and the persistence-layer fetch."" The authoritative registry is concept:inertness, which assigns message payloads to invariant 24 (""§24 — message payloads are inert. Read only at the substitution leaf (resolving the trigger message) and at the persistence-layer fetch...""). Invariant 21 in that same doc is ""§21 — blob content ... and executor error payloads are structurally inert"" — a different pair of streams. The message.md prose (""Read only at the substitution leaf and the persistence-layer fetch"") is verbatim the §24 wording, so the citation should read invariant 24. Invariant IDs are the durable cross-doc reference the self-containment rule relies on; a wrong ID mis-resolves.",CONFIRMED,minor,"message.md:31 cites invariant 21 for message-payload inertness. inertness.md registry: §24 = message payloads inert ('Read only at the substitution leaf ... and the persistence-layer fetch' — verbatim match), §21 = blob content + executor error payloads. Citation mis-resolves to a different stream pair. Downgraded major→minor: doc-internal reference error, no code-behavior impact, but genuinely points reader to wrong invariant.",batch1:K-message,,,,defect,fix-doc,CONFIRMED,corroborated,"Same underlying defect as row 309 (duplicate finding, same line). The §24 wording in inertness.md is verbatim the phrase message.md already carries, confirming the citation should read 24. Fixed in the same edit as row 309.",true
460,major,design-drift-doc-stale,.ok-planner/design/concepts/message.md,30,"Delivery invariant claims terminal/success carries the body as attributes_delta, but the pure_cascade settle emits an empty attributes_delta; the body reaches the node bag via the dispatch-input-bag upsert.","message.md line 30: ""...the run settles `fresh` emitting `terminal/success` whose payload carries the body as `attributes_delta`..."". Code path: the receiver run is dispatched via scheduler pure_cascade (lib/graph/scheduler/pure_cascade.go::transitionPureCascade), which calls runtime.EmitTerminalSuccessAndDrainInTx (lib/runtime/pure_cascade_settle.go). That function builds the terminal/success signal with Payload{""attributes_delta"": map[string]any{}} — an EMPTY delta, not the body. The body is instead loaded into the node's attribute bag at delivery time (lib/runtime/message_delivery.go::deliverNamedMessageInTx via NodeAttributes().Upsert(body) + SetDispatchInputBag(body)) and materialized at settle by upsertDataFromDispatchInputBagIfEmpty. So the observable end-state (body in the receiver's attribute bag) is correct, but the stated mechanism — body carried as attributes_delta in the terminal/success payload — is false.",CONFIRMED,major,message.md:30 claims terminal/success payload carries body as attributes_delta. pure_cascade_settle.go:31 sets 'attributes_delta': map[string]any{} (empty). Body reaches bag via message_delivery.go:173-177 Upsert(body)+SetDispatchInputBag(body). Stated mechanism false; observable end-state correct. Drift: doc describes non-existent mechanism.,batch1:K-message,,fix-doc,message.md: pure_cascade terminal/success emits an empty attributes_delta; the body reaches the node bag via the dispatch-input-bag upsert.,defect,fix-doc,CONFIRMED,corroborated,"Directly verified in code: pure_cascade_settle.go builds an empty attributes_delta; the body reaches the attribute bag earlier, via the delivery-time upsert. The dossier's own description of the mechanism (bag populated 'verbatim' at delivery, cascade merely 'firing standard terminal/success') matches code and contradicts the doc's stale claim. Rewrote message.md:30 to state the correct mechanism.",true
461,major,design-drift-doc-stale,.ok-planner/design/concepts/message.md,23,"Dead-letter boundary misstates code behavior: the only 'dead letter' path fires on a MISSING receiver node (not 'no subscribers'), returns WITHOUT dispatching, and leaves no audit-event row.","message.md line 23 (Owns): ""the dead-letter audit for messages whose message-receiver-node has no subscribers (the run still dispatches and emits `terminal/success` via pure_cascade, leaving a standard audit-event row)"". The only code that names a dead letter is lib/runtime/message_delivery.go::deliverNamedMessageInTx: when findMessageReceiverNode returns nil (NO receiver node exists for the type, not the no-subscribers case) it logs Warn(""no message-receiver-node found; message delivered as dead letter"") and returns nil — no node-run is created, nothing is dispatched, no terminal/success, no event-ledger row. Because DeliverPendingMessages already marked the message delivered before this call, a missing-receiver message is consumed with zero audit trail — contradicting ""the run still dispatches ... leaving a standard audit-event row."" The genuine no-subscribers outcome (receiver node present, nobody subscribes) is not special-cased at all: it is a normal pure_cascade settle whose terminal/success cascade walk simply reaches no one; there is no dead-letter-specific audit mechanism in code.",CONFIRMED,major,"message.md:23 says dead-letter fires on receiver-node with 'no subscribers' and 'the run still dispatches and emits terminal/success ... leaving a standard audit-event row'. Code (message_delivery.go:148-159): dead-letter fires when findMessageReceiverNode returns nil (MISSING receiver node), Warn-logs and returns nil — no run created, no dispatch, no terminal/success, no ledger row. Doc wrong on both trigger condition and behavior. Confirmed.",batch1:K-message,,fix-doc,"Correct message.md: the dead-letter path fires on a missing receiver node (not 'no subscribers'), returns without dispatching, and writes no audit-event row.",defect,fix-doc,CONFIRMED,corroborated,"Verified directly in code: the only 'dead letter' code path triggers on a missing message-receiver-node row, not an absence of subscribers, and it short-circuits before any run or event row is created. The doc's description of both the trigger condition and the consequence was wrong. Rewrote the Owns clause in message.md:23 to match observed code behavior; this doesn't touch the dossier's intentional-absence ruling on receipt-time dead-lettering, which is a different (retired) mechanism.",true
462,minor,design-drift-doc-stale,.ok-planner/design/concepts/message.md,32,"Publisher capability-check invariant says 'live, active binding', but code also accepts subscriptions in the Mounting state.","message.md line 32: ""rimsky validates that the publisher-subscription is a live, active binding for the target instance."" Code (lib/control/controlapi/messages.go::handleCreateMessage) treats a subscription as live when state == PublisherSubscriptionStateActive OR PublisherSubscriptionStateMounting; the sentinel is errPublisherSubscriptionNotLive with text ""not live (active or mounting)"". The doc's ""live, active"" reads as requiring the Active state and omits the accepted Mounting state.",CONFIRMED,minor,"message.md:32 says 'live, active binding'. messages.go:189-190 accepts State==Active OR State==Mounting; sentinel errPublisherSubscriptionNotLive text is 'not live (active or mounting)'. Doc omits accepted Mounting state. Confirmed.",batch1:K-message,,,,defect,fix-doc,CONFIRMED,corroborated,"publisher-subscription.md is the concept that owns this invariant and explicitly documents Mounting acceptance with rationale (avoid dropping a fast publisher's first message); code matches that design corpus exactly. The dossier's shorthand 'active row' is not in conflict — it predates the more precise sibling-concept articulation and isn't exhaustive language ruling Mounting out. message.md's 'live, active' phrasing was the stale/incomplete one. Fixed message.md:32 to state active-or-mounting, aligned with publisher-subscription.md's phrasing.",true
463,major,CLARITY,.ok-planner/design/concepts/module-layout.md,18,"The graph/runtime/control layer sub-bullets are nested under the Examples-module bullet, but they describe the Root module's internal layers, not the examples module.","Lines 19-21 (`graph layer`, `runtime layer`, `control layer`) are indented as children of the `**Examples module**` bullet (line 18). The Examples module (line 18) is copy-and-modify reference impls and contains no such layers; the three layers belong under the `**Root module**` bullet (line 17), whose prose says the root module holds 'the graph, runtime, and control layers'. As rendered, a reader attributes the entire core layer stack to the examples module.",CONFIRMED,major,"Verified via cat -A: lines 19-21 (graph/runtime/control layer) have 2-space indent, nesting them under line 18 (Examples module bullet). These layers belong to Root module (line 17). As rendered, reader attributes the core layer stack to the examples module. Structural misattribution confirmed.",batch1:K-module-layout,,fix-doc,Re-parent the graph/runtime/control layer sub-bullets under the Root-module bullet in module-layout.md.,defect,fix-doc,CONFIRMED,corroborated,"The layer sub-bullets misattributed the core layer stack to the Examples module by markdown nesting. Re-parented the three sub-bullets under the Root-module bullet, ahead of the Examples-module bullet.",true
